txn_id,date,amount,customer,product,region,status,payment_method,notes
TXN-2024-0001,2024-07-04,417.35,Acme Corp,Basic Plan,US-WEST,completed,credit_card,
TXN-2024-0002,2024-06-04,478.66,Blue Ocean Ltd,Pro Plan,APAC,refunded,credit_card,Annual renewal
TXN-2024-0003,2024-05-14,3473.25,TechStart Inc,Pro Plan,EU-WEST,pending,credit_card,
TXN-2024-0004,2024-02-22,2611.38,Sunset Labs,API Addon,US-WEST,completed,credit_card,New customer
TXN-2024-0005,2024-03-19,2553.16,Blue Ocean Ltd,Storage Addon,EU-WEST,pending,credit_card,Upgrade from basic
TXN-2024-0006,2024-07-07,104.73,Silver Stream Inc,API Addon,APAC,completed,credit_card,Monthly subscription
TXN-2024-0007,2024-12-22,93.49,Acme Corp,API Addon,US-WEST,completed,credit_card,New customer
TXN-2024-0008,2024-09-04,136.37,TechStart Inc,Basic Plan,APAC,pending,paypal,Referral discount applied
TXN-2024-0009,2024-06-21,145.10,Silver Stream Inc,Pro Plan,EU-WEST,completed,paypal,Annual renewal
TXN-2024-0010,2024-07-04,100.29,Green Valley LLC,Enterprise Plan,US-WEST,completed,paypal,
TXN-2024-0011,2024-04-07,89.79,Green Valley LLC,Pro Plan,US-EAST,refunded,credit_card,Referral discount applied
TXN-2024-0012,2024-09-26,3318.87,Silver Stream Inc,Storage Addon,US-EAST,refunded,credit_card,
TXN-2024-0013,2024-03-26,489.63,Red Mountain Co,Basic Plan,US-EAST,completed,credit_card,New customer
TXN-2024-0014,2024-08-16,3492.09,Green Valley LLC,Enterprise Plan,US-EAST,completed,credit_card,Referral discount applied
TXN-2024-0015,2024-05-01,76.11,Silver Stream Inc,API Addon,EU-WEST,completed,bank_transfer,Monthly subscription
TXN-2024-0016,2024-09-03,422.84,Northern Wind Co,Storage Addon,APAC,completed,bank_transfer,Upgrade from basic
TXN-2024-0017,2024-09-28,2372.94,Silver Stream Inc,Basic Plan,EU-WEST,completed,credit_card,
TXN-2024-0018,2024-04-05,144.63,Blue Ocean Ltd,Enterprise Plan,US-EAST,refunded,paypal,
TXN-2024-0019,2024-02-22,81.40,Silver Stream Inc,Basic Plan,US-WEST,completed,paypal,Annual renewal
TXN-2024-0020,2024-11-21,179.24,Green Valley LLC,Storage Addon,US-WEST,completed,credit_card,Annual renewal
TXN-2024-0021,2024-05-13,75.22,Blue Ocean Ltd,Basic Plan,US-WEST,completed,bank_transfer,Monthly subscription
TXN-2024-0022,2024-11-11,100.35,Golden Gate LLC,Pro Plan,US-EAST,completed,credit_card,Referral discount applied
TXN-2024-0023,2024-08-12,3072.12,Green Valley LLC,API Addon,US-EAST,pending,bank_transfer,Referral discount applied
TXN-2024-0024,2024-06-17,408.00,Red Mountain Co,Basic Plan,APAC,completed,credit_card,
TXN-2024-0025,2024-09-07,153.50,Red Mountain Co,Storage Addon,APAC,completed,credit_card,New customer
