date,customer_name,customer_email,product_name,product_category,quantity,unit_price,total,sales_rep_name,region
2024-01-01,Coastal Logistics,buying@coastallogistics.com,Conference Table 8-Person,Furniture,14,899.99,12599.86,Sarah Mitchell,West
2024-01-01,Pacific Design Studio,hello@pacificdesign.co,Tea Assortment (100 bags),Break Room,17,18.99,322.83,Lisa Nakamura,South
2024-01-02,Phoenix Legal Group,admin@phoenixlegal.com,Ballpoint Pens (box of 50),Office Supplies,13,18.5,240.5,Maria Santos,East
2024-01-05,Bay Area Robotics,lab@bayarearobotics.com,Disposable Cups (200 count),Break Room,9,15.99,143.91,Lisa Nakamura,South
2024-01-06,Starlight Events,planning@starlightevents.com,Noise-Canceling Headphones,Electronics,18,199.99,3599.82,Jennifer Walsh,Central
2024-01-07,Valley View Winery,office@valleyviewwine.com,Tea Assortment (100 bags),Break Room,4,18.99,75.96,Thomas Anderson,South
2024-01-08,Pinnacle Consulting,office@pinnacleconsult.com,Wireless Keyboard and Mouse Combo,Electronics,10,59.99,599.9,Maria Santos,East
2024-01-08,Evergreen Hotels,purchasing@evergreenhotels.com,Ergonomic Office Chair,Furniture,18,349.99,6299.82,Jennifer Walsh,Central
2024-01-10,Valley View Winery,office@valleyviewwine.com,Snack Variety Box (40 count),Break Room,14,39.99,559.86,Sarah Mitchell,West
2024-01-10,Diamond Auto Group,parts@diamondauto.com,Noise-Canceling Headphones,Electronics,3,199.99,599.97,Sarah Mitchell,West
2024-01-10,Pinnacle Consulting,office@pinnacleconsult.com,Ballpoint Pens (box of 50),Office Supplies,7,18.5,129.5,David Park,West
2024-01-12,Blue Ridge Farms,office@blueridgefarms.com,Wireless Keyboard and Mouse Combo,Electronics,10,59.99,599.9,Jennifer Walsh,Central
2024-01-12,Maple Creek Bakery,orders@maplecreek.com,All-Purpose Cleaner (gallon),Cleaning Supplies,16,12.99,207.84,Jennifer Walsh,Central
2024-01-13,Silverline Media,production@silverlinemedia.com,Filing Cabinet 4-Drawer,Furniture,8,229.99,1839.92,Robert Chen,East
2024-01-15,Starlight Events,planning@starlightevents.com,Disposable Cups (200 count),Break Room,11,15.99,175.89,Lisa Nakamura,South
2024-01-17,Evergreen Hotels,purchasing@evergreenhotels.com,Disinfecting Wipes (4 pack),Cleaning Supplies,10,28.99,289.9,Thomas Anderson,South
2024-01-17,Pacific Design Studio,hello@pacificdesign.co,All-Purpose Cleaner (gallon),Cleaning Supplies,9,12.99,116.91,Lisa Nakamura,South
2024-01-18,Metro Dental Clinic,office@metrodental.com,Ballpoint Pens (box of 50),Office Supplies,15,18.5,277.5,Jennifer Walsh,Central
2024-01-19,Phoenix Legal Group,admin@phoenixlegal.com,Water Filter Pitcher,Break Room,18,29.99,539.82,Maria Santos,East
2024-01-19,Diamond Auto Group,parts@diamondauto.com,Filing Cabinet 4-Drawer,Furniture,18,229.99,4139.82,Lisa Nakamura,South
2024-01-19,Prairie Wind Energy,supplies@prairiewind.com,Break Room Coffee (5 lb),Break Room,16,34.99,559.84,Maria Santos,East
2024-01-19,Evergreen Hotels,purchasing@evergreenhotels.com,Tea Assortment (100 bags),Break Room,18,18.99,341.82,Thomas Anderson,South
2024-01-20,Prairie Wind Energy,supplies@prairiewind.com,Water Filter Pitcher,Break Room,13,29.99,389.87,David Park,West
2024-01-20,Green Valley Foods,supply@greenvalley.com,Filing Cabinet 4-Drawer,Furniture,15,229.99,3449.85,Thomas Anderson,South
2024-01-21,Starlight Events,planning@starlightevents.com,Paper Towels (12 rolls),Cleaning Supplies,17,22.99,390.83,Lisa Nakamura,South
2024-01-22,Horizon Media Group,buying@horizonmg.com,Filing Cabinet 4-Drawer,Furniture,19,229.99,4369.81,David Park,West
2024-01-22,Starlight Events,planning@starlightevents.com,Snack Variety Box (40 count),Break Room,19,39.99,759.81,Michael Brown,Central
