title,cuisine,prep_time_minutes,difficulty,ingredients_count,is_vegetarian
Spaghetti Carbonara,Italian,25,medium,6,false
Margherita Pizza,Italian,45,medium,5,true
Chicken Tikka Masala,Indian,40,medium,12,false
Vegetable Biryani,Indian,50,hard,14,true
Pad Thai,Thai,30,medium,10,false
Green Curry,Thai,35,medium,11,false
Beef Tacos,Mexican,20,easy,8,false
Guacamole,Mexican,10,easy,5,true
Sushi Rolls,Japanese,60,hard,8,false
Miso Soup,Japanese,15,easy,5,true
Caesar Salad,American,15,easy,6,false
BBQ Pulled Pork,American,180,hard,8,false
Coq au Vin,French,90,hard,12,false
Ratatouille,French,45,medium,8,true
Doro Wat,Ethiopian,60,hard,10,false
Misir Wot,Ethiopian,40,medium,8,true
Bibimbap,Korean,35,medium,10,false
Kimchi Fried Rice,Korean,20,easy,7,false
Greek Salad,Greek,10,easy,6,true
Moussaka,Greek,75,hard,11,false
Risotto alla Milanese,Italian,40,hard,7,true
Bruschetta,Italian,15,easy,5,true
Penne Arrabbiata,Italian,20,easy,6,true
Butter Chicken,Indian,45,medium,13,false
Palak Paneer,Indian,35,medium,9,true
Chana Masala,Indian,30,easy,8,true
Tom Yum Soup,Thai,25,medium,9,false
Mango Sticky Rice,Thai,30,easy,4,true
Chicken Enchiladas,Mexican,35,medium,9,false
Black Bean Soup,Mexican,40,easy,7,true
Elote,Mexican,15,easy,5,true
Teriyaki Salmon,Japanese,25,medium,6,false
Edamame,Japanese,10,easy,2,true
Ramen,Japanese,120,hard,15,false
Classic Cheeseburger,American,25,easy,7,false
Mac and Cheese,American,30,easy,5,true
Clam Chowder,American,45,medium,10,false
Croque Monsieur,French,20,easy,5,false
Quiche Lorraine,French,50,medium,8,false
French Onion Soup,French,60,medium,6,true
Tibs,Ethiopian,30,medium,9,false
Shiro,Ethiopian,25,easy,6,true
Japchae,Korean,40,medium,9,true
Tteokbokki,Korean,25,easy,5,true
Spanakopita,Greek,60,hard,8,true
Gyro Wrap,Greek,30,medium,7,false
Souvlaki,Greek,25,medium,6,false
Aloo Gobi,Indian,30,easy,7,true
Fettuccine Alfredo,Italian,25,easy,5,true
Massaman Curry,Thai,50,hard,13,false
Spring Rolls,Thai,30,medium,8,true
Quesadilla,Mexican,15,easy,4,true
Tonkatsu,Japanese,35,medium,6,false
Grilled Cheese Sandwich,American,10,easy,3,true
Bulgogi,Korean,40,medium,10,false
